iter	Logloss
0	0.6561235682
1	0.6254377998
2	0.5958082369
3	0.5723375825
4	0.5520313585
5	0.535586814
6	0.5222408035
7	0.5092816896
8	0.4995230223
9	0.4893298481
10	0.4832661728
11	0.4769649021
12	0.4708445687
13	0.4626688821
14	0.4582075702
15	0.4531914745
16	0.4496256667
17	0.4434534834
18	0.4388273334
19	0.4352635423
20	0.4298110762
21	0.4262724024
22	0.422404001
23	0.4197001164
24	0.4177044549
25	0.4154723571
26	0.4134418947
27	0.4112276551
28	0.4087274319
29	0.4074834344
30	0.4049471606
31	0.4022738717
32	0.4010223714
33	0.3987145139
34	0.3961011479
35	0.3938950532
36	0.3918621366
37	0.3904232225
38	0.3895851341
39	0.3886781204
40	0.3863624523
41	0.3850929485
42	0.38394711
43	0.3822056538
44	0.3815192333
45	0.378990856
46	0.3783341844
47	0.3769860514
48	0.3759969341
49	0.3752204167
50	0.3744648083
51	0.3732654062
52	0.3727939068
53	0.3717028081
54	0.3702304537
55	0.369472788
56	0.3683764593
57	0.3672671744
58	0.3659183665
59	0.3648449713
60	0.3639074446
61	0.3633090667
62	0.3621419443
63	0.3604430246
64	0.3590724392
65	0.3580621271
66	0.3574808247
67	0.3568115797
68	0.3561884953
69	0.3558229139
70	0.3543065858
71	0.3539980499
72	0.3534401605
73	0.3530729545
74	0.3521222459
75	0.3513689486
76	0.3507483027
77	0.350263316
78	0.3494401435
79	0.3492379856
80	0.348333579
81	0.3474026757
82	0.3470658389
83	0.3466969208
84	0.3464710281
85	0.3461315411
86	0.3459281867
87	0.3451982322
88	0.3448298991
89	0.3444491222
90	0.344123103
91	0.3437633015
92	0.3427956665
93	0.3424853786
94	0.3423293986
95	0.3421504749
96	0.3417916341
97	0.3416290432
98	0.3414262589
99	0.3410457905
100	0.340819162
101	0.3406267588
102	0.3399215975
103	0.3395552772
104	0.339371493
105	0.3387271778
106	0.3386078342
107	0.3384506263
108	0.3383370196
109	0.338200245
110	0.3380384391
111	0.3374988336
112	0.3373600853
113	0.3369013992
114	0.336793534
115	0.3366893711
116	0.3365736008
117	0.3361218645
118	0.3359837427
119	0.33585217
120	0.3357379587
121	0.3354462015
122	0.3352930856
123	0.3347101251
124	0.3344835802
125	0.3339151645
126	0.3337897122
127	0.333676403
128	0.3334597916
129	0.3333574954
130	0.3332019356
131	0.3329124326
132	0.3326329263
133	0.3323003361
134	0.3321263386
135	0.3315833644
