iter	Passed	Remaining
0	53	39425
1	104	38438
2	155	38047
3	206	37646
4	258	37719
5	311	37867
6	362	37737
7	417	37955
8	469	37896
9	528	38297
10	585	38557
11	637	38424
12	689	38302
13	742	38236
14	795	38185
15	849	38157
16	901	38088
17	955	38073
18	1008	38015
19	1059	37884
20	1111	37792
21	1164	37749
22	1218	37713
23	1270	37642
24	1321	37522
25	1373	37446
26	1428	37464
27	1483	37462
28	1534	37368
29	1589	37361
30	1640	37265
31	1692	37179
32	1744	37116
33	1794	36996
34	1848	36973
35	1902	36949
36	1957	36923
37	2011	36894
38	2066	36886
39	2118	36807
40	2169	36720
41	2221	36659
42	2277	36649
43	2331	36610
44	2386	36588
45	2436	36493
46	2487	36406
47	2539	36348
48	2593	36302
49	2643	36216
50	2701	36230
51	2754	36182
52	2808	36133
53	2859	36064
54	2912	36004
55	2965	35958
56	3017	35894
57	3071	35848
58	3126	35826
59	3180	35780
60	3233	35726
61	3290	35712
62	3343	35659
63	3396	35610
64	3450	35566
65	3503	35510
66	3555	35444
67	3608	35391
68	3661	35341
69	3713	35279
70	3766	35227
71	3819	35170
72	3871	35108
73	3923	35049
74	3975	34986
75	4026	34916
76	4076	34839
77	4131	34799
78	4185	34754
79	4237	34695
80	4289	34635
81	4342	34582
82	4394	34521
83	4446	34458
84	4497	34393
85	4548	34327
86	4599	34258
87	4651	34198
88	4705	34151
89	4754	34076
90	4808	34025
91	4861	33976
92	4916	33938
93	4966	33870
94	5019	33812
95	5073	33769
96	5123	33700
97	5175	33640
98	5225	33571
99	5275	33496
100	5325	33432
101	5379	33382
102	5430	33321
103	5481	33255
104	5535	33215
105	5587	33158
106	5637	33089
107	5689	33029
108	5737	32952
109	5789	32895
110	5844	32856
111	5897	32804
112	5948	32744
113	6003	32705
114	6056	32652
115	6105	32578
116	6158	32527
117	6207	32460
118	6257	32389
119	6306	32321
120	6356	32256
121	6410	32210
122	6465	32171
123	6519	32123
124	6574	32082
125	6625	32021
126	6675	31957
127	6725	31892
128	6774	31825
129	6826	31769
130	6876	31707
131	6926	31639
132	6978	31586
133	7031	31537
134	7082	31477
135	7130	31403
136	7181	31349
137	7233	31294
138	7287	31248
139	7339	31191
140	7391	31139
141	7444	31089
142	7499	31045
143	7551	30991
144	7602	30932
145	7651	30868
146	7701	30805
147	7751	30744
148	7803	30691
149	7853	30629
150	7905	30576
151	7954	30509
152	8005	30451
153	8058	30402
154	8107	30338
155	8158	30280
156	8206	30212
157	8254	30145
